Test, Result Name, Result Value, Comment
OpenSSL Compatibility Test, test.txt.enc128, OK, data = 0123456789abcdef
OpenSSL Compatibility Test, test.txt.dec128, OK, data = 0123456789abcdef
OpenSSL Compatibility Test, test.txt.enc256, OK, data = 0123456789abcdef
OpenSSL Compatibility Test, test.txt.dec256, OK, data = 0123456789abcdef
OpenSSL Compatibility Test, test.txt.enc128, MISMATCH, data = 0123456789abcdef0123
OpenSSL Compatibility Test, test.txt.dec128, MISMATCH, data = 0123456789abcdef0123
OpenSSL Compatibility Test, test.txt.enc256, MISMATCH, data = 0123456789abcdef0123
OpenSSL Compatibility Test, test.txt.dec256, MISMATCH, data = 0123456789abcdef0123
OpenSSL Compatibility Test, test.txt.enc128, OK, data = 0123456789abcdef0123456789abcdef0123456789abcdef
OpenSSL Compatibility Test, test.txt.dec128, OK, data = 0123456789abcdef0123456789abcdef0123456789abcdef
OpenSSL Compatibility Test, test.txt.enc256, OK, data = 0123456789abcdef0123456789abcdef0123456789abcdef
OpenSSL Compatibility Test, test.txt.dec256, OK, data = 0123456789abcdef0123456789abcdef0123456789abcdef
OpenSSL Compatibility Test, test.txt.enc128, OK, data = 0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef
OpenSSL Compatibility Test, test.txt.dec128, OK, data = 0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef
OpenSSL Compatibility Test, test.txt.enc256, OK, data = 0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef
OpenSSL Compatibility Test, test.txt.dec256, OK, data = 0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef
File Size Test, File Size, 1606752, bytes
Section Sizes Test, .text, 505349, bytes
Section Sizes Test, .rodata, 43412, bytes
Section Sizes Test, .data, 48, bytes
Section Sizes Test, .bss, 512, bytes
Execution Time Test, AES-128-CTR encrypt 1024 bytes Test 0, 0.010447048, aes-ctr/target/release/aes-ctr -c encrypt -k f3d2e72d388c193b866ec0f841a1e845 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-128-CTR encrypt 1024 bytes Test 1, 0.009122652, aes-ctr/target/release/aes-ctr -c encrypt -k f3d2e72d388c193b866ec0f841a1e845 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-128-CTR encrypt 1024 bytes Test 2, 0.009859381, aes-ctr/target/release/aes-ctr -c encrypt -k f3d2e72d388c193b866ec0f841a1e845 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
